enb_id_hex,indb.cms_subway_ru,
end_pop,mbp.rto_bin_so_weight,
enfrc_comp_nm,mbp.r114_dmr_shop_owner,
envversion,indb.tmap_rprsd,
errcode,indb.tmap_rprsd,
est_age,indb.life_style_tms_mon_scls_sales_est_age_so_area_scls_list,
etc_gender,mbp.bloc_od_visitor_sigungu_roaming,
evdo_fa,indb.cms_bts,
evdo_fa_num,indb.cms_bts,
evdo_tce_num,indb.cms_bts,
event_time,mbp.query_hive_20730,
expt_end_dtm,indb.td_zord_wlf_dc_cust_hst,
exst_dc_aply_yn,indb.td_zord_wlf_dc_cust_hst,
fax_num,indb.cms_enb,
female_20_car,mbp.parking_time_monthly_car,
female_20_cnt,mbp.parking_time_monthly,
female_20_rate,mbp.parking_time_monthly_rate,
female_30_car,mbp.parking_time_monthly_car,
female_30_cnt,mbp.parking_time_monthly,
female_30_rate,mbp.parking_time_monthly_rate,
female_40_car,mbp.parking_time_monthly_car,
female_40_cnt,mbp.parking_time_monthly,
female_40_rate,mbp.parking_time_monthly_rate,
female_50_car,mbp.parking_time_monthly_car,
female_50_cnt,mbp.parking_time_monthly,
female_50_rate,mbp.parking_time_monthly_rate,
female_60_car,mbp.parking_time_monthly_car,
female_60_cnt,mbp.parking_time_monthly,
female_60_rate,mbp.parking_time_monthly_rate,
female_car,mbp.parking_time_monthly_car,
female_cnt,mbp.parking_time_monthly,
female_rate,mbp.parking_time_monthly_rate,
fieldx,mbp.cms_ru_juso,
fieldy,mbp.cms_ru_juso,
file_size,indb.loc_input_cnt,
final_pos_cash_rto,mbp.hd_card_dms_dai_sales_est,
final_revision_rto,mbp.hd_card_dms_dai_sales_est,
finc_amt,mbp.r114_shop_rent_so_area,
fix_cnt,indb.pcell_lte_utmk,
flag,mbp.parking_stay_ingu,
floor,mbp.twifi_ap,
floor_cd,mbp.r114_shop_rent_so_area,
floor_cls_cd,mbp.r114_dmr_shop_rent,
floor_cnt,mbp.r114_dmr_shop_owner_detl,
floor_sqmr,mbp.r114_dmr_shop_owner_detl,
flr_no,mbp.hd_card_bizmstr_close_building,
flspnr,mbp.parking_index_m_flspnr_index,
flspnr_cd,mbp.quarter_dmm_flspnr,
flspnr_cnt,mbp.parking_index_dmm_flspnr_cnt,
flspnr_nm,mbp.quarter_dmm_flspnr,
flspnr_nm_dtl,mbp.quarter_dmm_flspnr,
flspnr_score,mbp.parking_index_car_weekend_score_sum,
frequency,indb.cms_ru,
